"gene" "model" "bic.model" "weight"
"1" "0610007N19Rik" "flat" "bic.sleep" 0.00940213289089673
"2" "0610007N19Rik" "flat" "bic.circadian" 0.21814010761637
"3" "0610007N19Rik" "flat" "bic.flat" 0.771866426789007
"4" "0610007N19Rik" "flat" "bic.mix" 0.000591332703726373
"5" "0610007P14Rik" "flat" "bic.sleep" 0.00475816770246269
"6" "0610007P14Rik" "flat" "bic.circadian" 0.0502072077876476
"7" "0610007P14Rik" "flat" "bic.flat" 0.944919951192015
"8" "0610007P14Rik" "flat" "bic.mix" 0.000114673317874431
"9" "0610009B22Rik" "flat" "bic.sleep" 0.00317556576005529
"10" "0610009B22Rik" "flat" "bic.circadian" 0.0415091129133418
"11" "0610009B22Rik" "flat" "bic.flat" 0.954977523904339
"12" "0610009B22Rik" "flat" "bic.mix" 0.000337797422264118
"13" "0610009D07Rik" "circadian" "bic.sleep" 0.00630487135045358
"14" "0610009D07Rik" "circadian" "bic.circadian" 0.50689998589904
"15" "0610009D07Rik" "circadian" "bic.flat" 0.486637541141641
"16" "0610009D07Rik" "circadian" "bic.mix" 0.000157601608865781
"17" "0610009L18Rik" "circadian" "bic.sleep" 0.173203132206633
"18" "0610009L18Rik" "circadian" "bic.circadian" 0.424682956511184
"19" "0610009L18Rik" "circadian" "bic.flat" 0.250781687325327
"20" "0610009L18Rik" "circadian" "bic.mix" 0.151332223956855
"21" "0610009O20Rik" "sleep" "bic.sleep" 0.82964406462331
"22" "0610009O20Rik" "sleep" "bic.circadian" 0.043883974373822
"23" "0610009O20Rik" "sleep" "bic.flat" 0.0967420389587328
"24" "0610009O20Rik" "sleep" "bic.mix" 0.0297299220441352
"25" "0610010F05Rik" "sleep" "bic.sleep" 0.468756866178255
"26" "0610010F05Rik" "sleep" "bic.circadian" 0.0897614659023124
"27" "0610010F05Rik" "sleep" "bic.flat" 0.429506165508993
"28" "0610010F05Rik" "sleep" "bic.mix" 0.0119755024104397
"29" "0610010K14Rik" "flat" "bic.sleep" 0.000856169859071707
"30" "0610010K14Rik" "flat" "bic.circadian" 0.0852131832405096
"31" "0610010K14Rik" "flat" "bic.flat" 0.913887890555914
"32" "0610010K14Rik" "flat" "bic.mix" 4.27563445043592e-05
"33" "0610011F06Rik" "flat" "bic.sleep" 0.02582296479221
"34" "0610011F06Rik" "flat" "bic.circadian" 0.17453410527082
"35" "0610011F06Rik" "flat" "bic.flat" 0.79899735581704
"36" "0610011F06Rik" "flat" "bic.mix" 0.000645574119929605
"37" "0610012G03Rik" "flat" "bic.sleep" 0.0255050543544867
"38" "0610012G03Rik" "flat" "bic.circadian" 0.0270183763667731
"39" "0610012G03Rik" "flat" "bic.flat" 0.946324965886203
"40" "0610012G03Rik" "flat" "bic.mix" 0.00115160339253721
"41" "0610030E20Rik" "flat" "bic.sleep" 0.0020412919695325
"42" "0610030E20Rik" "flat" "bic.circadian" 0.0692807831607185
"43" "0610030E20Rik" "flat" "bic.flat" 0.928364464559146
"44" "0610030E20Rik" "flat" "bic.mix" 0.00031346031060328
"45" "0610031J06Rik" "circadian" "bic.sleep" 0.0354018269339113
"46" "0610031J06Rik" "circadian" "bic.circadian" 0.822859066182512
"47" "0610031J06Rik" "circadian" "bic.flat" 0.13972463245619
"48" "0610031J06Rik" "circadian" "bic.mix" 0.00201447442738681
"49" "0610037L13Rik" "flat" "bic.sleep" 0.00408318697993423
"50" "0610037L13Rik" "flat" "bic.circadian" 0.315432926663696
"51" "0610037L13Rik" "flat" "bic.flat" 0.680360923185536
"52" "0610037L13Rik" "flat" "bic.mix" 0.000122963170833728
"53" "0610038B21Rik" "sleep" "bic.sleep" 0.811905029362352
"54" "0610038B21Rik" "sleep" "bic.circadian" 0.105808207211212
"55" "0610038B21Rik" "sleep" "bic.flat" 0.0470843472441358
"56" "0610038B21Rik" "sleep" "bic.mix" 0.0352024161823002
"57" "0610040B10Rik" "sleep" "bic.sleep" 0.787681323320219
"58" "0610040B10Rik" "sleep" "bic.circadian" 2.37078807706302e-09
"59" "0610040B10Rik" "sleep" "bic.flat" 1.0266106349495e-10
"60" "0610040B10Rik" "sleep" "bic.mix" 0.212318674206332
"61" "0610040F04Rik" "sleep" "bic.sleep" 0.794672249436178
"62" "0610040F04Rik" "sleep" "bic.circadian" 0.0347552622396895
"63" "0610040F04Rik" "sleep" "bic.flat" 0.000583877954102415
"64" "0610040F04Rik" "sleep" "bic.mix" 0.169988610370031
"65" "0610040J01Rik" "flat" "bic.sleep" 0.00341180625505003
"66" "0610040J01Rik" "flat" "bic.circadian" 0.150321146414188
"67" "0610040J01Rik" "flat" "bic.flat" 0.84598959470177
"68" "0610040J01Rik" "flat" "bic.mix" 0.000277452628992023
"69" "0610043K17Rik" "flat" "bic.sleep" 0.00306198552561411
"70" "0610043K17Rik" "flat" "bic.circadian" 0.256256770468585
"71" "0610043K17Rik" "flat" "bic.flat" 0.739834894919949
"72" "0610043K17Rik" "flat" "bic.mix" 0.000846349085851558
"73" "1110001A16Rik" "flat" "bic.sleep" 0.356611118410746
"74" "1110001A16Rik" "flat" "bic.circadian" 0.155549500581817
"75" "1110001A16Rik" "flat" "bic.flat" 0.478784179073368
"76" "1110001A16Rik" "flat" "bic.mix" 0.00905520193406851
"77" "1110001J03Rik" "flat" "bic.sleep" 0.000936077156859167
"78" "1110001J03Rik" "flat" "bic.circadian" 0.0716148539838409
"79" "1110001J03Rik" "flat" "bic.flat" 0.927425666931248
"80" "1110001J03Rik" "flat" "bic.mix" 2.34019280517235e-05
"81" "1110002L01Rik" "flat" "bic.sleep" 0.0215660267304248
"82" "1110002L01Rik" "flat" "bic.circadian" 0.0608334862186733
"83" "1110002L01Rik" "flat" "bic.flat" 0.916501980936917
"84" "1110002L01Rik" "flat" "bic.mix" 0.00109850611398511
"85" "1110004E09Rik" "circadian" "bic.sleep" 0.0122892425211761
"86" "1110004E09Rik" "circadian" "bic.circadian" 0.849453109597736
"87" "1110004E09Rik" "circadian" "bic.flat" 0.137950821143153
"88" "1110004E09Rik" "circadian" "bic.mix" 0.000306826737935628
"89" "1110004F10Rik" "flat" "bic.sleep" 0.0141981331422288
"90" "1110004F10Rik" "flat" "bic.circadian" 0.147972339197957
"91" "1110004F10Rik" "flat" "bic.flat" 0.837474574298749
"92" "1110004F10Rik" "flat" "bic.mix" 0.000354953361066018
"93" "1110006O24Rik" "sleep" "bic.sleep" 0.990138839977572
"94" "1110006O24Rik" "sleep" "bic.circadian" 2.49979050313053e-06
"95" "1110006O24Rik" "sleep" "bic.flat" 6.62664854528925e-06
"96" "1110006O24Rik" "sleep" "bic.mix" 0.00985203358337902
"97" "1110007C09Rik" "flat" "bic.sleep" 0.0206766393954521
"98" "1110007C09Rik" "flat" "bic.circadian" 0.425374471058134
"99" "1110007C09Rik" "flat" "bic.flat" 0.540435793205187
"100" "1110007C09Rik" "flat" "bic.mix" 0.0135130963412269
"101" "1110008F13Rik" "flat" "bic.sleep" 0.00132134787814906
"102" "1110008F13Rik" "flat" "bic.circadian" 0.0268317582457108
"103" "1110008F13Rik" "flat" "bic.flat" 0.971813860198668
"104" "1110008F13Rik" "flat" "bic.mix" 3.30336774716175e-05
"105" "1110008J03Rik" "flat" "bic.sleep" 0.0249979904843043
"106" "1110008J03Rik" "flat" "bic.circadian" 0.249734225407076
"107" "1110008J03Rik" "flat" "bic.flat" 0.724055768619044
"108" "1110008J03Rik" "flat" "bic.mix" 0.00121201548957581
"109" "1110008L16Rik" "flat" "bic.sleep" 0.312101980341008
"110" "1110008L16Rik" "flat" "bic.circadian" 0.132222032925069
"111" "1110008L16Rik" "flat" "bic.flat" 0.54774029609793
"112" "1110008L16Rik" "flat" "bic.mix" 0.00793569063599235
"113" "1110008P14Rik" "flat" "bic.sleep" 0.00165171499211298
"114" "1110008P14Rik" "flat" "bic.circadian" 0.18699702258545
"115" "1110008P14Rik" "flat" "bic.flat" 0.811309969547634
"116" "1110008P14Rik" "flat" "bic.mix" 4.12928748035969e-05
"117" "1110012L19Rik" "flat" "bic.sleep" 0.0104602277189643
"118" "1110012L19Rik" "flat" "bic.circadian" 0.107551840643873
"119" "1110012L19Rik" "flat" "bic.flat" 0.881726425942244
"120" "1110012L19Rik" "flat" "bic.mix" 0.000261505694917914
"121" "1110017D15Rik" "flat" "bic.sleep" 0.0157810478385199
"122" "1110017D15Rik" "flat" "bic.circadian" 0.0741234617481796
"123" "1110017D15Rik" "flat" "bic.flat" 0.909700964217227
"124" "1110017D15Rik" "flat" "bic.mix" 0.000394526196073506
"125" "1110019D14Rik" "flat" "bic.sleep" 0.011324605054493
"126" "1110019D14Rik" "flat" "bic.circadian" 0.0836701298518494
"127" "1110019D14Rik" "flat" "bic.flat" 0.903240134996553
"128" "1110019D14Rik" "flat" "bic.mix" 0.00176513009710435
"129" "1110020A21Rik" "flat" "bic.sleep" 0.00516081141749605
"130" "1110020A21Rik" "flat" "bic.circadian" 0.430025073378682
"131" "1110020A21Rik" "flat" "bic.flat" 0.562682449779646
"132" "1110020A21Rik" "flat" "bic.mix" 0.00213166542417668
"133" "1110032A03Rik" "sleep" "bic.sleep" 0.949308462558758
"134" "1110032A03Rik" "sleep" "bic.circadian" 0.00163274640770907
"135" "1110032A03Rik" "sleep" "bic.flat" 0.0194456974438406
"136" "1110032A03Rik" "sleep" "bic.mix" 0.0296130935896923
"137" "1110032F04Rik" "circadian" "bic.sleep" 0.266944530311938
"138" "1110032F04Rik" "circadian" "bic.circadian" 0.646857442979189
"139" "1110032F04Rik" "circadian" "bic.flat" 0.0795244137812469
"140" "1110032F04Rik" "circadian" "bic.mix" 0.00667361292762611
"141" "1110034G24Rik" "circadian" "bic.sleep" 0.0729082121704119
"142" "1110034G24Rik" "circadian" "bic.circadian" 0.737312065433851
"143" "1110034G24Rik" "circadian" "bic.flat" 0.17921815355748
"144" "1110034G24Rik" "circadian" "bic.mix" 0.010561568838258
"145" "1110037F02Rik" "flat" "bic.sleep" 0.0531277956654646
"146" "1110037F02Rik" "flat" "bic.circadian" 0.0880838140154742
"147" "1110037F02Rik" "flat" "bic.flat" 0.855358900136086
"148" "1110037F02Rik" "flat" "bic.mix" 0.00342949018297496
"149" "1110038B12Rik" "flat" "bic.sleep" 0.000657908032076968
"150" "1110038B12Rik" "flat" "bic.circadian" 0.402853774122894
"151" "1110038B12Rik" "flat" "bic.flat" 0.596184516164548
"152" "1110038B12Rik" "flat" "bic.mix" 0.000303801680480777
"153" "1110038F14Rik" "flat" "bic.sleep" 0.00243367660801955
"154" "1110038F14Rik" "flat" "bic.circadian" 0.128558745577441
"155" "1110038F14Rik" "flat" "bic.flat" 0.868946747746225
"156" "1110038F14Rik" "flat" "bic.mix" 6.08300683151595e-05
"157" "1110046J04Rik" "flat" "bic.sleep" 0.0298306266841274
"158" "1110046J04Rik" "flat" "bic.circadian" 0.151116425046983
"159" "1110046J04Rik" "flat" "bic.flat" 0.812639222721477
"160" "1110046J04Rik" "flat" "bic.mix" 0.00641372554741253
"161" "1110051M20Rik" "flat" "bic.sleep" 0.000972458652328456
"162" "1110051M20Rik" "flat" "bic.circadian" 0.202735476881492
"163" "1110051M20Rik" "flat" "bic.flat" 0.796266518905871
"164" "1110051M20Rik" "flat" "bic.mix" 2.55455603079643e-05
"165" "1110054M08Rik" "flat" "bic.sleep" 0.0011156435305561
"166" "1110054M08Rik" "flat" "bic.circadian" 0.0722733660295222
"167" "1110054M08Rik" "flat" "bic.flat" 0.926531146185964
"168" "1110054M08Rik" "flat" "bic.mix" 7.98442539572944e-05
"169" "1110057K04Rik" "sleep" "bic.sleep" 0.956378411193852
"170" "1110057K04Rik" "sleep" "bic.circadian" 0.0037165356613438
"171" "1110057K04Rik" "sleep" "bic.flat" 0.00344972037609709
"172" "1110057K04Rik" "sleep" "bic.mix" 0.0364553327687075
"173" "1110058L19Rik" "flat" "bic.sleep" 0.0323404164175631
"174" "1110058L19Rik" "flat" "bic.circadian" 0.0536756267821459
"175" "1110058L19Rik" "flat" "bic.flat" 0.913010379092918
"176" "1110058L19Rik" "flat" "bic.mix" 0.000973577707373388
"177" "1110059E24Rik" "flat" "bic.sleep" 0.476045826930439
"178" "1110059E24Rik" "flat" "bic.circadian" 0.0202735419752094
"179" "1110059E24Rik" "flat" "bic.flat" 0.482197705915498
"180" "1110059E24Rik" "flat" "bic.mix" 0.021482925178853
"181" "1110059G10Rik" "circadian" "bic.sleep" 0.43044519229503
"182" "1110059G10Rik" "circadian" "bic.circadian" 0.526273607176428
"183" "1110059G10Rik" "circadian" "bic.flat" 0.0295967776928026
"184" "1110059G10Rik" "circadian" "bic.mix" 0.013684422835739
"185" "1110065P20Rik" "flat" "bic.sleep" 0.0222091061426159
"186" "1110065P20Rik" "flat" "bic.circadian" 0.287504524116859
"187" "1110065P20Rik" "flat" "bic.flat" 0.689640964101507
"188" "1110065P20Rik" "flat" "bic.mix" 0.000645405639017997
"189" "1190002N15Rik" "sleep" "bic.sleep" 0.975560225636092
"190" "1190002N15Rik" "sleep" "bic.circadian" 5.06735919740719e-05
"191" "1190002N15Rik" "sleep" "bic.flat" 9.51509268778964e-08
"192" "1190002N15Rik" "sleep" "bic.mix" 0.0243890056210069
"193" "1190005I06Rik" "circadian" "bic.sleep" 0.0152032176079138
"194" "1190005I06Rik" "circadian" "bic.circadian" 0.507687743660214
"195" "1190005I06Rik" "circadian" "bic.flat" 0.259465634977732
"196" "1190005I06Rik" "circadian" "bic.mix" 0.21764340375414
"197" "1190007I07Rik" "flat" "bic.sleep" 0.103981183392798
"198" "1190007I07Rik" "flat" "bic.circadian" 0.297121747786101
"199" "1190007I07Rik" "flat" "bic.flat" 0.595944278398625
"200" "1190007I07Rik" "flat" "bic.mix" 0.00295279042247675
"201" "1200014J11Rik" "mixed" "bic.sleep" 0.261279886600889
"202" "1200014J11Rik" "mixed" "bic.circadian" 0.152538048254452
"203" "1200014J11Rik" "mixed" "bic.flat" 0.247423110911796
"204" "1200014J11Rik" "mixed" "bic.mix" 0.338758954232863
"205" "1300002E11Rik" "sleep" "bic.sleep" 0.927887865352987
"206" "1300002E11Rik" "sleep" "bic.circadian" 0.0024203103157115
"207" "1300002E11Rik" "sleep" "bic.flat" 0.0025035400857498
"208" "1300002E11Rik" "sleep" "bic.mix" 0.0671882842455515
"209" "1500004A13Rik" "sleep" "bic.sleep" 0.974895742321175
"210" "1500004A13Rik" "sleep" "bic.circadian" 0.000267487053390223
"211" "1500004A13Rik" "sleep" "bic.flat" 8.67710072694875e-06
"212" "1500004A13Rik" "sleep" "bic.mix" 0.0248280935247075
"213" "1500009C09Rik" "circadian" "bic.sleep" 0.00287190729800716
"214" "1500009C09Rik" "circadian" "bic.circadian" 0.513423783810765
"215" "1500009C09Rik" "circadian" "bic.flat" 0.483629027720753
"216" "1500009C09Rik" "circadian" "bic.mix" 7.52811704747561e-05
"217" "1500009L16Rik" "flat" "bic.sleep" 0.000669509952877176
"218" "1500009L16Rik" "flat" "bic.circadian" 0.318817372079953
"219" "1500009L16Rik" "flat" "bic.flat" 0.677021679753796
"220" "1500009L16Rik" "flat" "bic.mix" 0.00349143821337321
"221" "1500011B03Rik" "flat" "bic.sleep" 0.0218397176049005
"222" "1500011B03Rik" "flat" "bic.circadian" 0.211760914390287
"223" "1500011B03Rik" "flat" "bic.flat" 0.766286912284732
"224" "1500011B03Rik" "flat" "bic.mix" 0.000112455720079687
"225" "1500011K16Rik" "flat" "bic.sleep" 0.00516249024633419
"226" "1500011K16Rik" "flat" "bic.circadian" 0.234960167723425
"227" "1500011K16Rik" "flat" "bic.flat" 0.759748557925962
"228" "1500011K16Rik" "flat" "bic.mix" 0.00012878410427919
"229" "1500012F01Rik" "flat" "bic.sleep" 0.00674570370239878
"230" "1500012F01Rik" "flat" "bic.circadian" 0.0296007869496313
"231" "1500012F01Rik" "flat" "bic.flat" 0.963488371991521
"232" "1500012F01Rik" "flat" "bic.mix" 0.000165137356449449
"233" "1500012K07Rik" "circadian" "bic.sleep" 0.00063708871474046
"234" "1500012K07Rik" "circadian" "bic.circadian" 0.7380986226349
"235" "1500012K07Rik" "circadian" "bic.flat" 0.260723781238903
"236" "1500012K07Rik" "circadian" "bic.mix" 0.000540507411456878
"237" "1500015A07Rik" "flat" "bic.sleep" 0.217926466407982
"238" "1500015A07Rik" "flat" "bic.circadian" 0.299433213667148
"239" "1500015A07Rik" "flat" "bic.flat" 0.47681086394425
"240" "1500015A07Rik" "flat" "bic.mix" 0.00582945598062046
"241" "1500015O10Rik" "flat" "bic.sleep" 0.0046535412063392
"242" "1500015O10Rik" "flat" "bic.circadian" 0.336139771128983
"243" "1500015O10Rik" "flat" "bic.flat" 0.658440336387702
"244" "1500015O10Rik" "flat" "bic.mix" 0.000766351276975375
"245" "1500017E21Rik" "flat" "bic.sleep" 0.0262819766995165
"246" "1500017E21Rik" "flat" "bic.circadian" 0.0872465635591132
"247" "1500017E21Rik" "flat" "bic.flat" 0.88469172342195
"248" "1500017E21Rik" "flat" "bic.mix" 0.00177973631942054
"249" "1600002H07Rik" "circadian" "bic.sleep" 5.29769418696788e-05
"250" "1600002H07Rik" "circadian" "bic.circadian" 0.948895649521322
"251" "1600002H07Rik" "circadian" "bic.flat" 0.047140555900464
"252" "1600002H07Rik" "circadian" "bic.mix" 0.00391081763634451
"253" "1600002K03Rik" "flat" "bic.sleep" 0.138500030358415
"254" "1600002K03Rik" "flat" "bic.circadian" 0.0816948349466232
"255" "1600002K03Rik" "flat" "bic.flat" 0.765183015644127
"256" "1600002K03Rik" "flat" "bic.mix" 0.0146221190508346
"257" "1600012H06Rik" "sleep" "bic.sleep" 0.54994014497953
"258" "1600012H06Rik" "sleep" "bic.circadian" 0.315533945939406
"259" "1600012H06Rik" "sleep" "bic.flat" 0.119516608256249
"260" "1600012H06Rik" "sleep" "bic.mix" 0.0150093008248151
"261" "1600014C10Rik" "flat" "bic.sleep" 0.00124501559648644
"262" "1600014C10Rik" "flat" "bic.circadian" 0.0487343973173616
"263" "1600014C10Rik" "flat" "bic.flat" 0.949979054938859
"264" "1600014C10Rik" "flat" "bic.mix" 4.15321472927768e-05
"265" "1600020E01Rik" "flat" "bic.sleep" 0.00216797207319502
"266" "1600020E01Rik" "flat" "bic.circadian" 0.140854201698568
"267" "1600020E01Rik" "flat" "bic.flat" 0.856919694776782
"268" "1600020E01Rik" "flat" "bic.mix" 5.81314514550277e-05
"269" "1600023N17Rik" "flat" "bic.sleep" 0.0111272214751648
"270" "1600023N17Rik" "flat" "bic.circadian" 0.0604155342794955
"271" "1600023N17Rik" "flat" "bic.flat" 0.928161051817001
"272" "1600023N17Rik" "flat" "bic.mix" 0.000296192428338371
"273" "1600029O15Rik" "flat" "bic.sleep" 0.00171706414919917
"274" "1600029O15Rik" "flat" "bic.circadian" 0.477517603996836
"275" "1600029O15Rik" "flat" "bic.flat" 0.520134033351782
"276" "1600029O15Rik" "flat" "bic.mix" 0.000631298502182196
"277" "1700001L05Rik" "sleep" "bic.sleep" 0.909768262462145
"278" "1700001L05Rik" "sleep" "bic.circadian" 7.45688973738436e-12
"279" "1700001L05Rik" "sleep" "bic.flat" 8.29976482026393e-14
"280" "1700001L05Rik" "sleep" "bic.mix" 0.0902317375303149
"281" "1700001L19Rik" "flat" "bic.sleep" 0.00284296046331582
"282" "1700001L19Rik" "flat" "bic.circadian" 0.293412050086806
"283" "1700001L19Rik" "flat" "bic.flat" 0.703395342871717
"284" "1700001L19Rik" "flat" "bic.mix" 0.000349646578160663
"285" "1700001O22Rik" "circadian" "bic.sleep" 0.00237310262946904
"286" "1700001O22Rik" "circadian" "bic.circadian" 0.928383760753589
"287" "1700001O22Rik" "circadian" "bic.flat" 0.0688837234182276
"288" "1700001O22Rik" "circadian" "bic.mix" 0.000359413198714059
"289" "1700001P01Rik" "flat" "bic.sleep" 0.332970349033869
"290" "1700001P01Rik" "flat" "bic.circadian" 0.205373877112282
"291" "1700001P01Rik" "flat" "bic.flat" 0.451518084638713
"292" "1700001P01Rik" "flat" "bic.mix" 0.0101376892151367
"293" "1700003E16Rik" "flat" "bic.sleep" 0.32817118884284
"294" "1700003E16Rik" "flat" "bic.circadian" 0.0328579652123609
"295" "1700003E16Rik" "flat" "bic.flat" 0.629625348214976
"296" "1700003E16Rik" "flat" "bic.mix" 0.00934549772982354
"297" "1700003M02Rik" "flat" "bic.sleep" 0.0279927666682936
"298" "1700003M02Rik" "flat" "bic.circadian" 0.0244002973734666
"299" "1700003M02Rik" "flat" "bic.flat" 0.940074256010102
"300" "1700003M02Rik" "flat" "bic.mix" 0.0075326799481381
"301" "1700003M07Rik" "flat" "bic.sleep" 0.0148871089192574
"302" "1700003M07Rik" "flat" "bic.circadian" 0.0858761381923232
"303" "1700003M07Rik" "flat" "bic.flat" 0.898196837195789
"304" "1700003M07Rik" "flat" "bic.mix" 0.00103991569263056
"305" "1700007F19Rik" "flat" "bic.sleep" 0.0011774096982613
"306" "1700007F19Rik" "flat" "bic.circadian" 0.0834492879058423
"307" "1700007F19Rik" "flat" "bic.flat" 0.915341162018091
"308" "1700007F19Rik" "flat" "bic.mix" 3.21403778051929e-05
"309" "1700007K13Rik" "flat" "bic.sleep" 0.0224196750788616
"310" "1700007K13Rik" "flat" "bic.circadian" 0.0923205746521703
"311" "1700007K13Rik" "flat" "bic.flat" 0.882789942261861
"312" "1700007K13Rik" "flat" "bic.mix" 0.00246980800710754
"313" "1700007P06Rik" "flat" "bic.sleep" 0.0179471741252092
"314" "1700007P06Rik" "flat" "bic.circadian" 0.0588890727639586
"315" "1700007P06Rik" "flat" "bic.flat" 0.9228755072386
"316" "1700007P06Rik" "flat" "bic.mix" 0.000288245872232509
"317" "1700008J07Rik" "flat" "bic.sleep" 0.0421839921517494
"318" "1700008J07Rik" "flat" "bic.circadian" 0.115827489905146
"319" "1700008J07Rik" "flat" "bic.flat" 0.840697263162294
"320" "1700008J07Rik" "flat" "bic.mix" 0.00129125478081083
"321" "1700008O03Rik" "sleep" "bic.sleep" 0.783880692560345
"322" "1700008O03Rik" "sleep" "bic.circadian" 0.00855852007074368
"323" "1700008O03Rik" "sleep" "bic.flat" 0.178865271169556
"324" "1700008O03Rik" "sleep" "bic.mix" 0.0286955161993557
"325" "1700009P17Rik" "flat" "bic.sleep" 0.0017959156074864
"326" "1700009P17Rik" "flat" "bic.circadian" 0.455001985908786
"327" "1700009P17Rik" "flat" "bic.flat" 0.542744663203194
"328" "1700009P17Rik" "flat" "bic.mix" 0.000457435280533277
"329" "1700010I14Rik" "circadian" "bic.sleep" 0.00173467345597537
"330" "1700010I14Rik" "circadian" "bic.circadian" 0.954133867952317
"331" "1700010I14Rik" "circadian" "bic.flat" 0.0411876259477681
"332" "1700010I14Rik" "circadian" "bic.mix" 0.00294383264393946
"333" "1700012D14Rik" "sleep" "bic.sleep" 0.978657986485163
"334" "1700012D14Rik" "sleep" "bic.circadian" 0.000282465139285493
"335" "1700012D14Rik" "sleep" "bic.flat" 0.00102651385220416
"336" "1700012D14Rik" "sleep" "bic.mix" 0.0200330345233471
"337" "1700013F07Rik" "flat" "bic.sleep" 0.0873903423623227
"338" "1700013F07Rik" "flat" "bic.circadian" 0.158365716710257
"339" "1700013F07Rik" "flat" "bic.flat" 0.748875687783454
"340" "1700013F07Rik" "flat" "bic.mix" 0.00536825314396627
"341" "1700016K19Rik" "sleep" "bic.sleep" 0.934147295965411
"342" "1700016K19Rik" "sleep" "bic.circadian" 0.00521902355308676
"343" "1700016K19Rik" "sleep" "bic.flat" 0.00667878258268039
"344" "1700016K19Rik" "sleep" "bic.mix" 0.0539548978988223
"345" "1700017B05Rik" "sleep" "bic.sleep" 0.567206265981261
"346" "1700017B05Rik" "sleep" "bic.circadian" 0.00656340069359487
"347" "1700017B05Rik" "sleep" "bic.flat" 0.2163454737563
"348" "1700017B05Rik" "sleep" "bic.mix" 0.209884859568844
"349" "1700018L02Rik" "flat" "bic.sleep" 0.153222438682395
"350" "1700018L02Rik" "flat" "bic.circadian" 0.0783525921737302
"351" "1700018L02Rik" "flat" "bic.flat" 0.754490366145329
"352" "1700018L02Rik" "flat" "bic.mix" 0.013934602998546
"353" "1700019D03Rik" "flat" "bic.sleep" 0.041862441852011
"354" "1700019D03Rik" "flat" "bic.circadian" 0.424888102511433
"355" "1700019D03Rik" "flat" "bic.flat" 0.532202894583346
"356" "1700019D03Rik" "flat" "bic.mix" 0.00104656105320985
"357" "1700019G17Rik" "sleep" "bic.sleep" 0.480668799163878
"358" "1700019G17Rik" "sleep" "bic.circadian" 0.206746235443677
"359" "1700019G17Rik" "sleep" "bic.flat" 0.246697254238015
"360" "1700019G17Rik" "sleep" "bic.mix" 0.0658877111544301
"361" "1700020D05Rik" "flat" "bic.sleep" 0.00353870034593519
"362" "1700020D05Rik" "flat" "bic.circadian" 0.0485722663199382
"363" "1700020D05Rik" "flat" "bic.flat" 0.947741376502966
"364" "1700020D05Rik" "flat" "bic.mix" 0.000147656831160879
"365" "1700020I14Rik" "flat" "bic.sleep" 0.000832433770190482
"366" "1700020I14Rik" "flat" "bic.circadian" 0.0901667463727939
"367" "1700020I14Rik" "flat" "bic.flat" 0.908980009012761
