	init	U	tau.w	L	tau.s	tau.mrna	logL	bic	convergence	msg	min.tau	max.tau	UL.delta	genelab
Egr2	3.25806195785888	4.51732559997175	6.60823894099021	0.0349702731038457	2.85398222443596	0.997232844764123	-59.7969828374744	143.74607581936	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.8539822	6.6082389	4.4823553268679	Egr2
Arc	7.56630641508799	8.73085196441703	7.89024656514521	4.37094544739017	2.30016283843546	1.05707635599602	-73.2395400727244	170.63119028986	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.3001628	7.8902466	4.35990651702686	Arc
Fos	5.2570592044637	6.3880598395567	8.28127986203433	2.35576758691038	3.01009393129133	1.04459673074806	-58.1062650825144	140.36464030944	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.0100939	8.2812799	4.03229225264633	Fos
Egr1	8.33367059186746	9.09136849237299	5.54734874238975	6.39749632663362	3.11732806074154	0.981246697800853	-27.8191415081169	79.7903931606446	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.1173281	5.5473487	2.69387216573937	Egr1
Nr4a1	6.74948642110124	7.53405802970651	7.92421110495827	4.85066062803233	2.82303899384213	1.01575883396165	-36.8659659651842	97.8840420747793	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.823039	7.9242111	2.68339740167417	Nr4a1
Plekhg4	1.9862580041868	3.20350722015534	19.4492703501485	0.536104434886741	0.480898346962988	1.96646197516765	-25.8916058496022	75.9353218436153	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	19.4492704	2.6674027852686	Plekhg4
Serinc2	3.64073060997093	4.45101809747528	5.67231925783942	1.82310012545651	2.10685373764932	0.981952700299932	-20.2149775899302	64.5820653242713	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.1068537	5.6723193	2.62791797201877	Serinc2
Junb	5.55070182554299	6.49501927505129	11.1949842261433	3.99227268298726	2.15965102613387	1.04648443174575	-44.3557156542357	112.863541452882	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.159651	11.1949842	2.50274659206403	Junb
Car12	2.39079573949492	3.5465612823709	27.8776790492621	1.11330382339412	5.20274278043188	1.16591966320603	-26.9653043165156	78.0827187774421	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	5.2027428	27.877679	2.43325745897677	Car12
Cyr61	2.47878922308376	3.67082142040828	21.0515724506282	1.28441009481908	1.03216883462088	1.30638042149276	-39.1999334690729	102.551977082557	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.0321688	21.0515725	2.3864113255892	Cyr61
Npas4	4.12719279065768	4.92911346397364	15.267097604133	2.5444829377421	1.85855355371204	1.1718247088554	-29.171721069137	82.4955522826849	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.8585536	15.2670976	2.38463052623154	Npas4
Fosl2	4.14258514708378	5.24891611347247	14.0883190925081	2.87907468967051	3.46345856553165	1.00941499307922	-14.6047896087428	53.3616893618966	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.4634586	14.0883191	2.36984142380196	Fosl2
Egr3	7.1612009586325	7.82900443259042	8.8293782968459	5.54270789196323	3.5312305509201	1.01321405828187	-14.9125757171976	53.9772615788061	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.5312306	8.8293783	2.28629654062719	Egr3
Inhba	3.11630871492263	4.08778680428842	18.2913242560206	1.87723338944798	4.49186460367421	1.06406524340283	-10.4366103234047	45.0253307912203	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.4918646	18.2913243	2.21055341484045	Inhba
Rasl11a	2.57196935008798	3.61796017638757	12.3721072292977	1.41541544125975	2.3741117546696	1.01529758937837	-10.9282866530136	46.0086834504382	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.3741118	12.3721072	2.20254473512782	Rasl11a
Nr4a3	3.87573280688303	4.78767819424525	6.3547396674926	2.59535208255608	2.50497387770961	0.93172098555614	-27.7364605597107	79.6250312638323	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.5049739	6.3547397	2.19232611168917	Nr4a3
Mdga1	3.35237750143751	4.01781432800896	10.3925060999603	1.85246902003723	4.40606233017208	1.03074252933428	-18.3325451440783	60.8172004325675	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.4060623	10.3925061	2.16534530797173	Mdga1
Dmkn	1.51398764282611	2.20234419120053	23.8272228416071	0.0876294347222992	3.92978013464004	1.67326610414433	-7.08029734702726	38.3127048384654	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.9297801	23.8272228	2.11471475647823	Dmkn
Egr4	4.61010219629959	5.43210681160678	10.6868452610656	3.32814564954768	1.65649910459381	1.05349775821338	-18.2276371180819	60.6073843805748	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.6564991	10.6868453	2.10396116205911	Egr4
Cbln4	4.21878638042105	5.14913501306034	11.2011734441245	3.09133029175628	0.52049265138971	1.15025713607577	-6.40382188059339	36.9597539055977	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.5204927	11.2011734	2.05780472130406	Cbln4
Gpr3	3.15237428924614	3.76396834339338	5.92527334752127	1.71920362369899	4.42892400420387	0.937313190866624	-18.8040141900491	61.7601385245091	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.428924	5.9252733	2.04476471969439	Gpr3
Wisp1	1.92817718771323	2.76500542907877	11.1445448808503	0.742276053251228	4.35432879967751	0.963398169453822	-16.0978586883667	56.3478275211442	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.3543288	11.1445449	2.02272937582754	Wisp1
