gene	cos.part	sin.part	amp	phase	pval	intercept	model	weight
Arntl	0.397428795871561	0.0639962273221248	0.402548338587286	0.609837727041569	4.15268827220867e-18	4.9006947625227	ampfree.step	0.598017622816922
Mthfd1l	-0.400012818687185	-0.174516472945924	0.436424397168115	13.5713697236651	2.62220275855694e-14	3.14279413369065	mixedaf	0.999402973538135
Hrh3	-0.394988763149079	-0.113819268243044	0.411060760517738	13.0716514964009	6.15431236174155e-14	6.00384526351269	mixedaf	0.980337977131
Ciart	-0.992831079482538	0.180872753032975	1.00917218807109	11.3116770193666	7.13657640425574e-14	4.99659161990042	mixedaf	0.874334394490378
Dbp	-0.858255539287334	0.100444552832199	0.864113232690632	11.5549897627959	9.00968139000876e-14	6.29119694081743	mixedaf	0.999999818573066
Zfp46	-0.332733815400121	0.312104207645366	0.456202617638987	9.12215847637649	1.27096031759997e-13	5.28388087380475	mix	0.834853788100179
Cirbp	-0.273682155825122	0.375780362395803	0.464879342603441	8.40439882963486	2.29033796328706e-13	6.69221671830139	sleep	0.892090256909383
Net1	-0.441511001825024	0.0844243791279799	0.449510222935676	11.2783168183062	1.14151387685563e-12	5.00134539106562	mix	0.676025942246853
Tef	-0.238405273595938	-0.126286740059984	0.269787722465889	13.8607212915308	1.44884500721685e-12	7.89085803882329	mixedaf	0.970615719353434
Bicd2	0.133796038948049	-0.114854585208926	0.176331947705747	21.2904137479843	2.42999380202414e-12	5.03359637384368	sleep	0.978420583760796
Armcx5	-0.165969405103391	0.314574356954625	0.35567241878418	7.85440835817675	2.79072170725063e-12	4.67921978363086	sleep	0.838449975247782
Usp2	-0.423480601361032	0.141688727856091	0.446555164935507	10.7667145197936	4.09685788962665e-12	6.06577358190635	mixedaf	0.710482548528361
Psmf1	-0.172629488803765	0.172838497900353	0.244282800788552	8.99768905984267	4.14123812530212e-12	5.04375939598546	sleep	0.712518279706106
Sec14l1	-0.211774468508896	0.0621445157811966	0.220704250874116	10.9097232402753	4.48843193621313e-12	7.07548007419564	ampfree.step	0.487500956655755
Lgi2	-0.189399405497254	0.133313427503883	0.231613049622741	9.65728396100579	7.08873515658789e-12	5.27748951827628	sleep	0.818156861335776
Per3	-0.321617828080986	-0.109562349128535	0.339767472966577	13.2541284209769	8.44218026381719e-12	5.02172567208537	ampfree.step	0.546128327191968
Hmgb3	-0.241152536770022	0.273536639843066	0.364659895419351	8.75998074503102	9.22996340516524e-12	5.08783265527556	sleep	0.975480465894892
Nr1d1	-0.438611823986922	0.358633425204419	0.566567088538496	9.38191047494388	1.03536900718035e-11	6.48095338745451	ampfree.step	0.977485334818932
Epha8	-0.636766811131991	0.216393820921309	0.672531231610941	10.7487059247808	1.13299015207628e-11	1.93859100008508	mixedaf	0.920468964002846
Mfsd4	-0.243300789586738	0.182436244794347	0.304102380175153	9.54240220619378	1.26607747992054e-11	6.05649985583902	mix	0.584007992981744
Rbm3	-0.355804418658779	0.108860033599322	0.372085059163033	10.86588417872	1.49473391191216e-11	7.40833619135386	sleep	0.947750809222034
Nfil3	0.599316531546677	-0.0267075099824762	0.599911323509236	23.8298933562254	1.54648477604116e-11	3.02320945297132	mixedaf	0.998479833116443
Rbm28	0.247224815761817	-0.286572470834114	0.378475746341074	20.7189464186208	2.18911277281515e-11	5.77659770658217	sleep	0.900999936027763
Krtcap3	0.441165476894484	-0.242903083246315	0.503615811759424	22.0775387624369	2.42348511420656e-11	2.93334462489483	sleep	0.824186335690369
E2f1	-0.171863617024239	0.00293516908338561	0.171888679307866	11.9347713588874	2.92799548386216e-11	3.56078889991994	mixedaf	0.514785851231431
Tmem151b	0.215725653975304	-0.277006064751011	0.351098159624789	20.5273733273332	3.14364404382175e-11	6.09048088436785	sleep	0.955182371250177
Hlf	-0.146203665110739	-0.169393708869093	0.223762687453114	15.2801687913388	5.43848047438501e-11	7.17529989448415	ampfree.step	0.998685790974809
5830417I10Rik	0.243930775211247	-0.233477975558599	0.337659870529652	21.0836188597014	5.56670517314033e-11	3.70343974807464	sleep	0.8276418597336
Smim19	-0.1579012051737	0.248652089004275	0.294551611710914	8.16111452806596	6.8614897452706e-11	4.60700966480998	sleep	0.913348441784355
Abhd2	-0.0943150998903741	0.15001712084613	0.177201790663338	8.14382622744826	7.15663105359907e-11	5.76918934323524	sleep	0.986976547320335
Rasl11b	-0.140543055561005	0.291420466533603	0.323540165638034	7.71643813886053	7.37262550068361e-11	5.90971888348586	sleep	0.988584110679624
Leo1	0.234460967568259	0.00973605507405586	0.234663026660463	0.158523774235286	8.31303390612714e-11	4.58500579201664	ampfree.step	0.997924693425725
Hspa8	0.212610690652793	-0.145980195094611	0.257902158074953	21.7017464725543	8.49683084914964e-11	11.1316599008327	sleep	0.968739409613416
Nr1d2	-0.346984329227516	-0.0115616340497393	0.347176894552862	12.1272272335359	8.54363878471227e-11	6.17301109128546	ampfree.step	0.998005228727171
Hif1an	0.076869972612298	-0.138921083816091	0.158770463934741	19.9304876196044	8.94143729479365e-11	4.34482231413546	sleep	0.943164034499851
Rhobtb2	0.00156904343160661	-0.251832342957806	0.251837230879209	18.0237984796281	1.03454090383948e-10	5.54773725058072	mixedaf	0.999996215472682
Tmem165	-0.0920514635594614	0.162471353661112	0.186736211549643	7.96897387038651	1.06951781466482e-10	5.1856599021231	sleep	0.982799180103835
Adam8	0.0948950466543734	-0.447995230963435	0.457935363174233	18.7973134431861	1.07519450359756e-10	2.28644915967871	sleep	0.745108963817166
Mat2b	-0.183838213855189	0.0827953131691885	0.201622302229317	10.3836401714799	1.26005157262113e-10	7.19682915828751	mix	0.550296041956072
Zmym1	0.198078645998213	-0.385315186598845	0.433246976936006	19.8137531561087	1.48527787806162e-10	4.75819005387849	sleep	0.866589169151165
Pcsk4	-0.481455685497046	-0.136807931663916	0.500515721295135	13.0575168098362	1.83570097564043e-10	2.59761960908906	mixedaf	0.999859750916941
Slc39a2	0.0976398722008107	-0.27278806578494	0.289735868470025	19.3129312399978	1.94822331486755e-10	3.7585714467861	sleep	0.919053333028205
Wbscr27	-0.187637783488827	0.208997553648553	0.280869925808513	8.79449743761647	2.08046846240919e-10	2.89167421212601	sleep	0.833469377771284
Lrrc8d	-0.0705515926118627	0.165767952994157	0.180156991149229	7.53698824990587	2.19788098595585e-10	4.45565373964378	sleep	0.918250960342357
Sdf2l1	0.191395143918948	-0.592821990239749	0.622952657292328	19.1928598852618	2.27615402225525e-10	3.7915980097375	sleep	0.95129968467702
Snn	-0.12284388903057	0.0941482327575355	0.154772448463937	9.50221638636598	2.4059869378141e-10	7.10937193387877	sleep	0.968229749859511
Dcst1	-0.217619218857649	0.278112175754015	0.353135252727401	8.53618168980688	2.41843032681636e-10	3.56614674691416	sleep	0.951957582087484
Pla2g4e	-0.43241553067318	0.655055902226635	0.784908546398444	8.22864012910318	2.92440785758544e-10	3.36218935871847	sleep	0.954866154940551
Slc5a3	0.234441317142947	-0.284369556717965	0.368549557009219	20.6335344207577	3.86698193522874e-10	2.75243474973094	sleep	0.959334108413826
Klhdc9	-0.220931512463763	0.364264474498413	0.426027394167477	8.08249326752179	4.23173955898698e-10	2.39863759926259	sleep	0.974286222468373
Ino80c	-0.108728670591175	0.2004145440141	0.228008581551011	7.89871107761263	4.29623647906896e-10	3.97767026981515	sleep	0.867602656173606
Bhlhe41	-0.481787775852716	-0.0266029371682259	0.482521685758353	12.2106999290954	4.5145521845469e-10	4.62160830823473	mixedaf	0.891667635785611
Ankrd50	0.14818098065121	-0.140953033340233	0.204512495057312	21.0954677577671	4.5606572159155e-10	5.01682354851986	sleep	0.471076764767486
Kcnip4	-0.231873892411258	0.0131718951313926	0.232247714312327	11.7832489112	4.68872994677561e-10	6.0636596440366	sleep	0.783495664160418
Ogfod1	0.0773046093190093	-0.092262182269195	0.120367407960124	20.6639305374079	4.7416505912912e-10	5.96791274628552	circadian	0.595713085309037
Omg	-0.128147462321102	0.143945031474173	0.192722453765613	8.77847752281572	4.88958842052335e-10	6.87611607146709	sleep	0.92958527983171
Nudt18	-0.0651473091154889	0.136556468509599	0.151300498931108	7.70030112028497	5.01215569226643e-10	3.92522755910461	sleep	0.845159747419335
Hif3a	-0.914256932604905	0.103593928363728	0.920107298530969	11.5690280210586	5.16111332796198e-10	1.99508286271208	circadian	0.880336997941638
Khdrbs3	0.186934606341661	-0.107083974407186	0.215433341483974	22.0129407498425	5.16170614954689e-10	7.23639524042344	mixedaf	0.611712598142202
Rab15	0.112963897779588	-0.128768573357249	0.171295614905982	20.7506184668395	5.27352728683744e-10	7.47457719174213	mixedaf	0.816056996967806
Gatsl2	0.0895761296907838	-0.298922858103384	0.312055697123247	19.1121019891547	5.474425851244e-10	5.78842766054831	mixedaf	0.508069208399954
Wnt4	-0.22023621924717	-0.0586140423587326	0.227902606895838	12.9935554785041	6.0255617193644e-10	3.32381531997386	circadian	0.514148703704464
Epm2a	-0.134908777419376	0.159854824177625	0.209174432083967	8.67750306001215	6.6432660820598e-10	4.54413611284322	sleep	0.970410193213975
Rbm11	-0.173019277005396	0.309218653488073	0.354332959065971	7.94857516046786	7.49116864455061e-10	2.4087361436149	sleep	0.850829339874161
Gclc	-0.0828387922991374	0.0438636049648757	0.0937351660269202	10.1399019639627	7.88659681291729e-10	5.10356336807212	circadian	0.617296112632568
Daglb	-0.127530369469248	0.167449247219996	0.210483361650051	8.48620800047652	8.52994619122645e-10	4.51369534230674	sleep	0.963574842721233
Rsad1	-0.268944889122516	0.183663745249606	0.325674261654548	9.71137633847338	8.81026879314852e-10	3.70000658561546	sleep	0.705333179773073
Snx4	-0.0670314842933616	0.0958616747147766	0.116972990752963	8.33088356487143	9.47000538799035e-10	4.89934342014018	sleep	0.918015746353663
Stc1	-0.0895394129963674	-0.360252013766457	0.371212634351959	17.0694772369236	9.75469332055388e-10	1.77782133253605	mixedaf	0.58606415218438
