Gene_symbol	ShamSDBL_logFC	ShamSDBL_pval	ZT181ZT12	ZT181ZT12	Direction
Hspa1b	0.81	0.0002	1.87	1.45E-05	Up
Arc	1.4	1.52E-09	1.75	6.81E-05	Up
Egr1	0.59	0.0002	1.09	0.0001	Up
Egr3	0.31	0.001	1	0.0006	Up
Hspa5	0.77	1.49E-10	0.86	0.0009	Up
Cirbp	-0.91	4.11E-09	-1.02	0.001	down
P4ha1	0.7	8.47E-08	0.77	0.001	Up
Cryab	0.35	0.0008	0.73	0.001	Up
Fam46a	0.22	0.01	0.76	0.001	Up
Fos	0.7	2.32E-06	1.7	0.001	Up
Chordc1	0.68	1.01E-05	0.7	0.001	Up
Dusp6	0.48	7.61E-06	0.71	0.002	Up
Npas4	0.66	1.17E-05	1.15	0.002	Up
Nr4a1	0.84	1.91E-05	1.14	0.002	Up
Sfpq	0.31	7.55E-05	0.76	0.002	Up
Nr4a3	0.46	4.22E-05	0.73	0.002	Up
Mkks	0.4	2.55E-07	-0.68	0.003	Up
Sdf2l1	0.8	2.55E-07	0.71	0.003	Up
Rbm3	-0.81	2.66E-09	-0.68	0.003	down
Trim9	0.29	0.0008	0.63	0.003	Up
Etv5	0.31	0.02	0.68	0.005	Up
Cys1	0.49	1.01E-07	0.57	0.005	Up
Tra2a	0.5	3.42E-06	0.6	0.005	Up
Dusp1	0.66	6.25E-05	0.72	0.006	Up
Dio2	0.75	2.55E-07	0.66	0.007	Up
Spred1	0.37	0.0004	0.63	0.007	Up
Usp2	-0.22	0.005	-0.57	0.008	down
Creld2	0.58	4.66E-08	0.54	0.008	Up
Nfil3	0.4	0.002	0.57	0.008	Up
Xbp1	0.41	3.78E-05	0.58	0.008	Up
Calr	0.45	1.01E-05	0.53	0.009	Up
Dusp11	0.23	0.007	0.59	0.009	Up
Hspa1a	0.53	0.001	0.68	0.009	Up
Pdia6	0.66	5.99E-09	0.59	0.009	Up
Opalin	-0.94	7.06E-06	-0.81	0.009	down
Hsp90b1	0.46	9.40E-07	0.53	0.01	Up
Hexim1	0.34	0.0001	0.51	0.01	Up
Hsph1	0.6	1.91E-07	0.54	0.01	Up
Pllp	-0.43	1.01E-05	-0.52	0.01	down
Eny2	-0.19	0.02	-0.51	0.01	down
Homer1	0.52	4.64E-08	0.94	0.01	Up
Armet	0.58	8.18E-07	0.54	0.01	Up
Dnajb1	0.59	5.12E-05	0.44	0.02	Up
Lrrk2	0.39	1.01E-05	0.5	0.02	Up
Slc5a3	0.66	3.04E-07	0.59	0.02	Up
4933437F05Rik	0.8	1.66E-07	0.51	0.02	Up
Cbln4	0.24	0.005	0.51	0.02	Up
EG665858/EG665787	-0.28	0.04	-0.44	0.02	down
Arl4a	-0.14	0.02	-0.49	0.02	down
Synj2	0.28	0.0003	0.57	0.02	Up
Bcl2	0.28	0.0005	0.42	0.02	Up
Pdia3	0.42	0.0007	0.41	0.02	Up
Enc1	0.2	0.002	0.5	0.03	Up
Zbtb40	0.37	0.0002	0.56	0.03	Up
Zbtb22	-0.3	4.22E-05	-0.43	0.03	down
Mfsd4	-0.33	3.19E-06	-0.5	0.03	down
Ppm2c	0.36	7.60E-07	0.41	0.03	Up
Tipin	-0.51	0.0003	-0.41	0.04	down
ler5	0.17	0.04	0.36	0.04	Up
Dnaja4	0.28	0.0005	0.37	0.04	Up
Dnajb11	0.43	0.0002	0.35	0.04	Up
Pcsk1	0.38	8.75E-05	0.55	0.04	Up
Gfod1	0.35	2.38E-05	0.36	0.04	Up
Snf1lk2	0.26	0.001	0.42	0.04	Up
Dnajc3	0.4	3.42E-06	0.39	0.04	Up
Plkfb3	0.33	0.0001	0.42	0.04	Up
Hspa4l	0.25	0.001	0.4	0.04	Up
Tubd1	0.33	0.002	0.47	0.04	Up
BC004004	-0.25	4.64E-05	-0.37	0.04	down
Stip1	0.43	0.0002	0.37	0.04	Up
Fkbp4	0.29	0.0002	0.33	0.04	Up
Rbm11	-0.65	2.55E-07	-0.55	0.04	down
Otub2	0.44	0.0001	0.44	0.05	Up
Mett10d	0.3	0.0005	0.36	0.05	Up
Luzp1	0.2	0.01	0.33	0.05	Up
Dusp4	0.59	1.43E-05	0.47	0.05	Up
Trib2	0.3	0.0005	0.4	0.05	Up
Tfrc	-0.59	4.66E-08	-0.34	0.05	down
