gene	Peak	P.value	Adj.Pvalue	Qvalue	chromo	start	end	strand	distance	model
Pfkfb3	chr2_109814	2.10519911539824e-11	3.68039021469722e-10	8.15861898158514e-07	chr2	11012995	11013720	+	458	sleep
Hif3a	chr7_179126	5.40461305443664e-13	5.32894166810254e-10	8.15861898158514e-07	chr7	17058086	17058738	+	27	circadian
Egr2	chr10_22452	9.34561610224505e-11	7.77929375495648e-10	8.15861898158514e-07	chr10	67717399	67718247	+	182	sleep
Mfap3	chr11_33693	2.49096670513094e-11	1.98540700220948e-09	1.24933031953533e-06	chr11	58024578	58025146	+	506	sleep
Mid1	chrX_215003	7.32210824005482e-10	1.87118611957833e-09	1.24933031953533e-06	chrX	169980330	169981263	+	296	flat
Il12a	chr3_130680	5.79751570433618e-12	2.5277117878415e-09	1.32548262232164e-06	chr3	67961914	67962505	+	728	sleep
Fosl2	chr5_154427	1.08520722443346e-11	3.11483269190579e-09	1.40002057798553e-06	chr5	31576153	31577339	+	559	sleep
Phlda1	chr10_27074	1.87434064115774e-11	3.72644918518582e-09	1.46555780064219e-06	chr10	111575848	111576593	+	70	sleep
Pdp1	chr4_139662	1.38559311624913e-10	4.52679219974958e-09	1.58250752702915e-06	chr4	11984846	11985627	+	27	sleep
Gcfc2	chr6_171654	1.18293150444004e-10	6.20976980442894e-09	1.77615372505817e-06	chr6	81516731	81517709	+	406	sleep
Otub2	chr12_49658	2.95348281195874e-11	5.84122536430876e-09	1.77615372505817e-06	chr12	104185877	104186839	+	798	sleep
Dusp4	chr8_191347	1.60819735251773e-10	8.96292592073832e-09	2.34999152400198e-06	chr8	34596193	34596918	+	211	sleep
Gm13889	chr2_117483	9.18293259208759e-12	1.04849202435177e-08	2.53757866262704e-06	chr2	94051805	94052578	+	96	ampfree.step
Tomm20	chr8_199695	6.32896613157999e-11	1.34647896012036e-08	2.91772290471427e-06	chr8	126615411	126616223	+	315	sleep
Ypel5	chr17_93856	7.79947081002721e-10	1.39103343486003e-08	2.91772290471427e-06	chr17	72970386	72971388	+	134	sleep
Dnajb5	chr4_141761	1.65459805735125e-11	1.90703760386038e-08	3.75004957476189e-06	chr4	44321982	44322548	+	1372	sleep
Ppp2r1b	chr9_203968	1.08054836263362e-10	2.17028280770348e-08	4.01666066840943e-06	chr9	51058755	51059555	+	214	mix
Ciart	chr3_133035	3.08470879362193e-10	3.18719319122849e-08	5.27779506801253e-06	chr3	95881808	95883363	+	4	mixedaf
Derl1	chr15_74997	3.01344252554877e-10	3.11465132092984e-08	5.27779506801253e-06	chr15	57906490	57907060	+	37	mix
Wisp1	chr15_75905	6.66804704209365e-10	3.77741041635182e-08	5.94240042120465e-06	chr15	66893881	66894552	+	3	sleep
Plat	chr8_190352	1.68291339402562e-10	4.95014100940294e-08	7.14347269649303e-06	chr8	23047992	23048804	+	291	mix
Abhd6	chr14_61732	7.814582935876e-11	4.99498668652594e-08	7.14347269649303e-06	chr14	9896252	9897221	+	1894	sleep
Npas4	chr19_104198	6.6075537240161e-11	5.41934142938114e-08	7.41338256337927e-06	chr19	5793183	5795254	+	810	sleep
Pdia4	chr6_169377	7.66871363308606e-10	6.32566505389729e-08	7.98336329794971e-06	chr6	49637489	49638077	+	1842	sleep
Mtrf1	chr14_68212	6.79244516679165e-10	6.3434886455116e-08	7.98336329794971e-06	chr14	79186999	79187726	+	210	sleep
Tbc1d10a	chr11_28930	5.24283758302026e-10	6.62496292282292e-08	8.0169253381037e-06	chr11	3567924	3568389	+	619	sleep
Anxa11	chr14_63193	3.7067588205428e-10	6.90764632872016e-08	8.04941028650093e-06	chr14	25189230	25189625	+	653	mix
Kcnip4	chr5_156185	4.8116321840564e-09	7.99106522512209e-08	8.55127645590417e-06	chr5	49761004	49761436	+	1372	sleep
Stt3b	chr9_210260	5.08514758302469e-10	8.0606143391929e-08	8.55127645590417e-06	chr9	116488891	116490034	+	1247	sleep
Dusp6	chr10_25915	3.02376375027571e-09	8.15369508987622e-08	8.55127645590417e-06	chr10	99250564	99251579	+	12	sleep
Guf1	chr5_157672	3.76942373616298e-10	9.12658836428668e-08	9.26284728841147e-06	chr5	71202058	71202502	+	1645	sleep
Usp21	chr1_14392	2.15003328437119e-10	1.00026120295492e-07	9.78558120465516e-06	chr1	171360162	171361990	+	79	circadian
Tiparp	chr3_130524	7.00666321199915e-10	1.02636735479861e-07	9.78558120465516e-06	chr3	65635673	65636557	+	108	mix
Tacc1	chr8_190352	3.33167099651771e-10	1.29574683266939e-07	1.16479593546759e-05	chr8	23047992	23048804	+	2106	sleep
Ide	chr19_106908	1.96425474405312e-09	1.28043453268013e-07	1.16479593546759e-05	chr19	37282890	37283867	+	15	flat
Lipg	chr18_102442	1.23721072238114e-09	1.75440578867889e-07	1.53329346893891e-05	chr18	74738821	74739291	+	200	sleep
Inhba	chr13_52193	2.10523578703743e-09	1.89241889963194e-07	1.60921209302377e-05	chr13	16738227	16738948	+	727	sleep
Zbtb21	chr16_88247	8.42112720249662e-09	2.05362060331516e-07	1.65673611977025e-05	chr16	97288227	97289286	+	659	sleep
Wdr36	chr18_98138	3.51419517503117e-09	2.00718592346023e-07	1.65673611977025e-05	chr18	32880069	32880942	+	43	sleep
Klhdc9	chr1_14392	1.39035018025649e-09	2.2971960726414e-07	1.80690703485137e-05	chr1	171360162	171361990	+	3	sleep
Tada1	chr1_13733	2.30607362302511e-09	2.57769785976186e-07	1.92301246959442e-05	chr1	166038528	166039442	+	340	sleep
Nr4a2	chr2_114045	8.38658649982632e-09	2.62816617189318e-07	1.92301246959442e-05	chr2	56196248	56196866	+	910	sleep
Ccnf	chr17_89675	4.53115702905041e-10	2.50918276467767e-07	1.92301246959442e-05	chr17	24986893	24987745	+	764	sleep
Epm2a	chr10_17805	1.24263451072511e-09	2.72453613089077e-07	1.94821835202562e-05	chr10	12207121	12207817	+	864	sleep
Nmt2	chr2_109122	2.68472388702749e-09	2.83668922649988e-07	1.98333913053349e-05	chr2	3217855	3219138	+	66	sleep
Tmem198	chr1_6315	1.76846019311967e-09	3.13223962392404e-07	2.10727137445452e-05	chr1	77723546	77724248	+	2244	sleep
Gm20594	chr6_171661	9.19688858736319e-09	3.14789755788242e-07	2.10727137445452e-05	chr6	81620835	81621542	+	1803	sleep
Rnd3	chr2_113666	1.6103339959831e-09	3.29473308826562e-07	2.15961698772896e-05	chr2	51457663	51458378	+	328	mixedaf
Spry2	chr14_69644	2.68975432980368e-09	3.98571752165469e-07	2.55922323938914e-05	chr14	106178078	106178681	+	286	sleep
Trp53i11	chr2_117483	2.74219220057052e-09	4.50882322493242e-07	2.83720645392325e-05	chr2	94051805	94052578	+	865	sleep
Gda	chr19_105438	1.07970319244489e-08	4.95315911862906e-07	3.05569383946221e-05	chr19	21737959	21739042	+	347	sleep
Zhx2	chr15_74997	8.90898261617707e-09	5.11738031522647e-07	3.09629324660213e-05	chr15	57906490	57907060	+	212	sleep
Acrbp	chr6_176559	3.10297755706966e-09	5.54836522444692e-07	3.23272689318489e-05	chr6	126783318	126784474	+	1734	sleep
Smim19	chr8_190352	1.95523171398051e-09	5.47223126441545e-07	3.23272689318489e-05	chr8	23047992	23048804	+	586	sleep
Schip1	chr3_130680	7.11314881548705e-09	6.48430317761557e-07	3.7093546479337e-05	chr3	67961914	67962505	+	103	sleep
Syt13	chr2_117483	2.06888963215348e-09	6.8901428318979e-07	3.82203909278446e-05	chr2	94051805	94052578	+	1137	sleep
Sox11	chr12_43017	7.44157751668094e-09	7.02265404078516e-07	3.82203909278446e-05	chr12	28171185	28172051	+	837	sleep
